,MAC,nbAPConnected,coToAdmin,coToAcademic,coToSocial,coToLibrary,coToResidential,only Academic or Admin,is Night,is Weekend
0,0040961e58be,19,1,1,0,1,1,0,0.0,0.0
1,nothing,8,1,1,0,1,0,0,0.0,0.0
2,00601db0635a,2,1,0,0,1,0,0,0.0,0.0
3,00409699dfba,10,1,1,0,1,0,0,0.0,0.0
4,004096daa8fe,6,0,1,0,0,0,1,0.0,0.0
5,00409630cdc9,4,0,1,0,0,0,1,0.0,0.0
6,004096342c16,25,1,1,0,1,1,0,0.0,0.0
7,00409699915b,107,1,1,1,1,1,0,0.0,0.0
8,00409664173d,106,1,1,1,1,1,0,0.0,0.0
9,004096a0b921,155,1,1,1,1,1,0,0.0,0.0
10,003065343950,3,0,1,0,0,0,1,0.0,0.0
11,003065b40dda,2,0,1,0,0,0,1,0.0,0.0
12,003065fc1494,23,1,1,1,1,0,0,0.0,0.0
13,0040968cf0ea,23,1,1,0,1,1,0,0.0,0.0
14,0030650c0321,11,0,1,0,0,0,1,0.0,0.0
15,0040962dc86b,5,0,1,0,0,0,1,0.0,0.0
16,0030655b9345,1,0,0,0,1,0,0,0.0,0.0
17,00409622cb2b,9,0,1,0,0,1,0,0.0,0.0
18,003065e8f0ca,27,1,1,0,1,1,0,0.0,0.0
19,00022db6cc78,3,0,1,0,0,0,1,0.0,0.0
20,004096d06bb2,20,1,1,1,1,1,0,0.0,0.0
21,004096da8a8e,7,0,1,0,1,0,0,0.0,0.0
22,00601d9bf252,8,1,1,0,1,1,0,0.0,0.0
23,00306526784b,78,1,1,1,1,1,0,0.0,0.0
24,003065708c70,10,1,1,0,1,0,0,0.0,0.0
25,004096ff6784,8,0,1,0,1,0,0,5.0,4.0
26,003065d55e08,12,1,1,1,1,1,0,0.0,0.0
27,00409649fe8d,7,1,1,0,0,0,1,0.0,0.0
28,00306506fde2,34,1,1,1,1,1,0,0.0,0.0
29,004096229b1c,4,0,1,0,0,1,0,2.0,0.0
30,0030655b8297,59,1,1,1,1,1,0,0.0,0.0
31,0040964fb1f3,21,1,1,0,1,1,0,0.0,0.0
32,0030651794b6,66,1,1,1,1,1,0,0.0,0.0
33,004096828008,45,1,1,0,1,1,0,0.0,0.0
34,0040963582b8,77,1,1,1,1,1,0,0.0,1.0
35,003065f88ab1,5,0,1,0,1,0,0,0.0,0.0
36,00409616fc02,11,0,1,0,1,0,0,0.0,0.0
37,003065901355,31,0,1,0,1,1,0,0.0,0.0
38,003065e2d2b5,81,1,1,1,1,1,0,0.0,0.0
39,0030659f0025,3,0,0,0,1,0,0,0.0,0.0
40,00601df57e26,6,1,1,0,0,1,0,0.0,0.0
41,003065c010fb,1,0,1,0,0,0,1,0.0,0.0
42,004096f20d21,5,0,1,0,0,0,1,0.0,0.0
43,003065475356,2,1,0,0,1,0,0,0.0,0.0
44,003065e79136,14,1,1,0,1,1,0,0.0,0.0
45,00601d9a221b,1,0,0,0,1,0,0,1.0,0.0
46,00306582237e,20,1,1,1,1,1,0,0.0,0.0
47,00306572a9d8,54,1,1,1,1,1,0,0.0,0.0
48,0030659970a6,3,0,1,0,1,0,0,0.0,2.0
49,004096aec485,2,0,1,0,0,0,1,0.0,0.0
50,003065e0de26,5,0,1,0,0,0,1,0.0,0.0
51,004096c99fa5,29,1,1,0,1,1,0,0.0,0.0
52,00409653f0d3,39,1,1,1,1,1,0,4.0,2.0
53,0040966fb204,26,0,1,1,1,0,0,1.0,0.0
54,004096906d36,8,0,1,0,0,0,1,0.0,0.0
55,00409696d938,4,0,1,0,0,1,0,0.0,0.0
56,004096fde907,8,0,1,0,1,0,0,3.0,0.0
57,004096fee63e,30,1,1,1,0,1,0,0.0,0.0
58,00601d29a832,9,1,1,0,0,0,1,0.0,0.0
59,00601daa4d6d,2,0,1,0,0,0,1,0.0,0.0
60,0040961558f7,129,1,1,1,1,1,0,0.0,0.0
61,00409638aef9,3,0,1,0,0,0,1,12.0,0.0
62,004096da78e4,4,0,1,0,0,0,1,0.0,0.0
63,0030653813fd,11,0,1,0,1,0,0,0.0,0.0
64,00601d5eab28,6,1,1,0,0,0,1,0.0,0.0
65,0040966b9e99,66,1,1,1,1,1,0,0.0,0.0
66,004096d3161b,2,1,0,0,0,0,1,0.0,0.0
67,0030651f7707,32,1,1,1,0,1,0,0.0,0.0
68,00306547a61f,10,0,1,0,0,1,0,1.0,0.0
69,0040960b31ce,4,0,1,0,1,0,0,0.0,0.0
70,00409672d195,11,0,1,0,0,1,0,0.0,0.0
71,00601d3fd397,10,1,1,0,0,0,1,0.0,0.0
72,003065e5e3f5,39,1,1,1,1,1,0,1.0,0.0
73,0040966eda31,52,1,1,1,1,1,0,0.0,1.0
74,0040960a7573,9,0,1,1,0,0,0,0.0,0.0
75,0040962377ec,7,0,1,0,0,0,1,0.0,0.0
76,00306507681a,2,0,1,0,1,0,0,0.0,0.0
77,003065fb6bb0,52,1,1,0,1,1,0,0.0,0.0
78,003065cdabb1,2,1,0,0,0,1,0,0.0,0.0
79,004096bbb887,80,1,1,1,1,1,0,0.0,1.0
80,004096d922b7,18,0,1,0,1,1,0,0.0,0.0
81,00409664ea03,4,0,1,0,0,0,1,0.0,0.0
82,00409656a9b7,37,1,1,0,1,1,0,3.0,0.0
83,00601dec40ea,1,0,0,0,1,0,0,0.0,0.0
84,004096cf9f64,5,0,1,0,0,0,1,0.0,0.0
85,0040966fd9c6,4,0,1,0,0,0,1,0.0,0.0
86,0030657c2ea6,7,0,1,1,1,1,0,0.0,8.0
87,003065e4bcef,3,0,0,0,0,1,0,1.0,0.0
88,004096b57a2f,74,1,1,1,1,1,0,0.0,0.0
89,00601dbb8fac,6,1,1,0,0,0,1,0.0,0.0
90,00601d8969c8,1,0,1,0,0,0,1,4.0,1.0
91,00601de2717d,1,0,1,0,0,0,1,0.0,3.0
92,00601d5c1c96,17,0,1,0,0,1,0,0.0,0.0
93,00601d70421b,9,1,1,1,0,1,0,0.0,0.0
94,004096effaab,5,1,1,0,0,0,1,0.0,3.0
95,0030658d041f,8,0,1,0,1,1,0,0.0,0.0
96,003065d91e72,40,1,1,1,1,1,0,0.0,0.0
97,00409620586b,100,1,1,1,1,1,0,0.0,0.0
98,00601df8cc52,2,0,1,0,0,0,1,0.0,0.0
99,003065757b9a,4,1,1,0,1,0,0,0.0,0.0
100,0040960eb783,6,0,1,0,0,0,1,0.0,0.0
101,0040962d4b01,7,0,1,0,1,1,0,2.0,7.0
102,00601d57902c,5,1,1,0,0,0,1,0.0,0.0
103,00601d99cd96,4,0,0,1,0,1,0,7.0,0.0
104,003065ed4f04,37,1,1,1,1,1,0,0.0,0.0
105,00409603501f,7,1,1,0,0,0,1,0.0,0.0
106,00022d3ae59b,6,0,1,0,0,1,0,1.0,0.0
107,003065de4dc1,1,0,0,0,0,1,0,1.0,0.0
108,00306581d2db,10,1,1,1,1,0,0,0.0,0.0
109,0040962f0fee,4,1,1,0,0,0,1,0.0,0.0
110,003065972849,1,0,1,0,0,0,1,0.0,0.0
111,0040961612c7,5,0,1,0,0,0,1,1.0,0.0
112,003065e2f58c,3,0,1,0,0,0,1,0.0,0.0
113,0040969e61a7,5,1,1,0,0,0,1,0.0,0.0
114,00601d6c48b6,2,1,1,0,0,0,1,0.0,0.0
115,004096d03b3f,46,1,1,1,1,1,0,0.0,0.0
116,00022d55f73f,4,0,0,0,0,1,0,9.0,21.0
117,00409685b281,8,1,1,0,0,1,0,82.0,0.0
118,00022d4d28f4,2,0,1,0,0,0,1,0.0,0.0
119,00601d496104,4,0,1,0,1,0,0,0.0,20.0
120,00601d8d26c2,12,1,1,0,0,0,1,2.0,1.0
121,00306519f163,4,0,1,1,0,1,0,0.0,0.0
122,00306572b0cc,2,0,1,0,0,0,1,0.0,0.0
123,00409610eee6,10,0,1,0,1,0,0,0.0,0.0
124,0030650b29a5,14,1,1,1,1,1,0,0.0,0.0
125,003065b2c127,15,0,1,1,0,1,0,0.0,0.0
126,003065e5f8e9,2,0,1,0,1,0,0,0.0,0.0
127,0040966a1bd7,6,0,1,0,0,0,1,0.0,0.0
128,004096ffce46,32,1,1,1,1,1,0,0.0,0.0
129,004096f40195,3,0,1,0,1,0,0,0.0,0.0
130,003065feca2a,3,0,1,0,1,0,0,0.0,0.0
131,00601d0f507e,1,1,0,0,0,0,1,0.0,0.0
132,004096e391aa,6,0,1,0,1,1,0,0.0,0.0
133,003065f04da1,5,0,1,0,1,1,0,0.0,0.0
134,003065639522,8,0,1,0,1,1,0,1.0,0.0
135,004096b55b47,3,0,1,0,0,1,0,0.0,0.0
136,00409620dee9,44,1,1,0,1,1,0,0.0,0.0
137,00409699ee33,59,1,1,1,1,1,0,0.0,0.0
138,004096a3303d,15,1,1,1,1,1,0,0.0,0.0
139,004096e65a2c,25,0,1,1,1,1,0,0.0,0.0
140,00022d10778d,11,0,1,0,0,1,0,0.0,0.0
141,00022d7eb056,8,0,1,0,0,0,1,0.0,0.0
142,0030652069be,16,1,1,1,1,1,0,0.0,0.0
143,004096f062a1,24,1,1,0,0,1,0,11.0,0.0
144,004096e4e4a5,14,0,1,0,1,1,0,0.0,0.0
145,00409652064c,13,1,1,0,1,1,0,0.0,0.0
146,004096011ce9,29,1,1,1,1,1,0,0.0,0.0
147,004096068da2,18,0,1,1,0,1,0,0.0,0.0
148,004096a859f0,17,1,1,0,0,1,0,0.0,0.0
149,004096391b01,31,0,1,1,1,1,0,0.0,0.0
150,0040964e0eeb,7,0,1,0,0,1,0,0.0,0.0
151,004096fe7c66,2,0,0,0,0,0,1,0.0,0.0
152,004096d4bb2b,21,0,1,1,1,1,0,0.0,0.0
153,004096bd22a2,2,0,0,0,0,0,1,0.0,0.0
154,004096ce81bc,25,1,1,1,1,1,0,0.0,0.0
155,00409649e02e,10,1,1,0,1,1,0,6.0,0.0
156,004096f5e0b0,62,1,1,0,1,1,0,0.0,2.0
157,0040962a3a06,9,1,1,1,1,1,0,0.0,6.0
158,00409623a067,16,0,1,0,1,1,0,0.0,0.0
159,003065e99488,1,0,0,0,0,1,0,0.0,1.0
160,0030651bae78,16,1,1,1,1,1,0,0.0,0.0
161,0030657bad4b,12,0,1,1,1,1,0,0.0,0.0
162,004096e61d35,2,0,1,0,0,0,1,0.0,0.0
163,004096c4e558,9,0,1,0,0,1,0,1.0,0.0
164,004096f4334f,25,1,1,0,1,1,0,0.0,4.0
165,0030654806d7,37,1,1,1,1,1,0,0.0,0.0
166,004096b77bde,21,0,1,0,1,1,0,0.0,3.0
167,004096170d62,46,1,1,1,1,1,0,0.0,2.0
168,00601dad89d4,3,1,1,0,0,0,1,0.0,0.0
169,004096275ef4,1,1,0,0,0,0,1,0.0,0.0
170,00022d371973,9,1,1,0,0,0,1,0.0,0.0
171,003065b70356,44,1,1,1,1,1,0,1.0,0.0
172,003065add3fa,7,0,1,0,1,1,0,0.0,0.0
173,003065d7718a,2,0,0,0,0,1,0,1.0,0.0
174,004096e05040,6,0,1,0,0,1,0,0.0,0.0
175,003065abdbe8,9,1,0,0,0,1,0,0.0,0.0
176,00409650715a,13,0,1,0,0,0,1,0.0,0.0
177,0040965c676c,17,0,1,1,1,1,0,2.0,1.0
178,004096393d3f,46,1,1,1,1,1,0,0.0,0.0
179,0030658d6f18,1,0,1,0,0,0,1,0.0,0.0
180,003065d5bc80,35,1,1,1,1,1,0,0.0,0.0
181,0000c5e63857,5,0,1,0,0,0,1,0.0,0.0
182,00306593d275,24,0,1,1,1,1,0,0.0,0.0
183,0030655baaea,6,1,1,0,1,0,0,0.0,0.0
184,004096c9f949,16,0,1,1,1,1,0,0.0,0.0
185,0040967b052a,18,0,1,1,1,1,0,0.0,0.0
186,00409632d2cb,20,1,1,0,1,0,0,0.0,0.0
187,003065a8bef4,12,1,0,0,1,1,0,1.0,0.0
188,0050da083fb4,1,0,0,0,0,1,0,0.0,0.0
189,004096f8258f,36,1,1,1,0,1,0,1.0,0.0
190,00409607afd1,13,0,1,1,1,1,0,1.0,0.0
191,004096e77240,7,0,1,0,0,0,1,0.0,0.0
192,004096470a34,10,1,1,0,1,1,0,0.0,0.0
193,003065fe9632,2,0,1,0,0,0,1,0.0,0.0
194,003065957c34,16,1,1,1,1,1,0,0.0,0.0
195,003065abbd30,3,0,0,0,0,1,0,0.0,0.0
196,0040960da883,22,1,1,1,1,1,0,0.0,0.0
197,0040964a5eed,8,0,0,0,1,1,0,0.0,0.0
198,003065b2fb0f,4,0,1,1,0,0,0,0.0,1.0
199,003065687126,9,0,1,0,1,0,0,0.0,0.0
200,00601d23f5eb,21,1,1,1,1,1,0,1.0,0.0
201,00022de8502e,1,0,1,0,0,0,1,0.0,0.0
202,003065dba815,5,0,1,0,1,0,0,0.0,0.0
203,0030651d2871,10,0,1,0,0,0,1,0.0,0.0
204,003065ff2bc0,2,0,1,0,0,0,1,0.0,0.0
205,00306528bac1,13,1,1,0,0,1,0,0.0,0.0
206,0040962de1e8,20,0,1,0,0,0,1,0.0,2.0
207,003065e97c26,7,0,1,0,0,0,1,0.0,0.0
208,003065a15e50,7,0,1,1,0,0,0,0.0,0.0
209,00601d13c98a,8,0,1,0,0,0,1,0.0,0.0
210,0030651e0ae6,1,1,0,0,0,0,1,0.0,0.0
211,003065769752,28,0,1,1,1,1,0,0.0,0.0
212,003065424b61,3,0,1,0,0,1,0,0.0,0.0
213,0040965b1471,14,1,1,1,0,1,0,1.0,2.0
214,003065e8b691,12,0,1,0,0,0,1,0.0,0.0
215,003065f1edc6,2,0,1,0,0,0,1,2.0,0.0
216,004096f3ec87,13,0,1,0,0,1,0,0.0,0.0
217,0030658812dd,8,0,1,1,1,1,0,0.0,0.0
218,004096c5d023,2,0,1,0,0,0,1,0.0,0.0
219,0040964f5226,5,0,1,0,0,0,1,0.0,0.0
220,00601df83d0d,1,0,1,0,0,0,1,1.0,0.0
221,00601d67f99c,3,0,0,0,0,1,0,0.0,0.0
222,003065bebdb6,10,1,1,0,0,1,0,0.0,0.0
223,00306534f01c,7,0,1,0,0,0,1,0.0,0.0
224,00022d6c58e0,7,1,1,1,0,1,0,0.0,1.0
225,00306572ab32,10,0,1,1,1,1,0,0.0,1.0
226,00306538f32a,2,0,0,0,0,1,0,0.0,0.0
227,0050da8dc55b,1,0,0,0,0,1,0,2.0,0.0
228,004096b16ac7,14,0,1,0,0,0,1,0.0,4.0
229,0040962ca4bc,15,1,1,0,0,0,1,2.0,0.0
230,003065e7592d,44,1,1,1,1,1,0,0.0,0.0
231,003065f94cf4,25,1,1,1,0,1,0,1.0,0.0
232,003065758950,13,1,1,0,0,1,0,0.0,0.0
233,003065578d65,1,0,0,0,1,0,0,0.0,2.0
234,00606da332c9,8,0,1,0,0,0,1,0.0,0.0
235,00601d92e5c3,5,1,1,0,0,0,1,0.0,0.0
236,003065caca43,30,1,1,1,1,1,0,0.0,0.0
237,003065e9aecb,2,1,1,0,0,0,1,0.0,0.0
238,0040963bed43,22,0,1,0,1,1,0,0.0,0.0
239,0000c57610a0,4,0,0,0,0,1,0,0.0,1.0
240,00409682ef14,2,0,0,0,0,1,0,0.0,0.0
241,003065f71074,6,0,0,0,1,1,0,0.0,0.0
242,0040962c60ca,9,0,1,1,1,1,0,0.0,0.0
243,00306534d07b,28,0,1,1,1,1,0,5.0,0.0
244,004096cd6162,16,0,1,0,0,0,1,0.0,0.0
245,003065001a43,3,0,1,0,1,0,0,0.0,0.0
246,0030657b5eaa,2,1,0,0,0,1,0,0.0,0.0
247,00022d8adcdf,50,1,1,1,1,1,0,0.0,0.0
248,004096128c0d,16,1,1,1,1,1,0,0.0,0.0
249,0030656e7eb9,9,0,1,0,1,1,0,0.0,0.0
250,0030abc32fe1,7,0,1,1,0,1,0,2.0,10.0
251,00601d66adca,1,0,1,0,0,0,1,0.0,0.0
252,004096fc09c6,12,0,1,0,0,0,1,0.0,0.0
253,004096080d4c,1,0,1,0,0,0,1,0.0,0.0
254,003065368859,2,0,1,0,0,0,1,0.0,0.0
255,004096f41eb8,9,1,1,0,0,1,0,0.0,0.0
256,00022dbc3259,14,0,1,1,1,0,0,2.0,0.0
257,00601df5782c,13,0,1,0,0,0,1,1.0,0.0
258,003065f369f0,15,0,1,1,1,1,0,0.0,0.0
259,00022d58f01c,2,0,1,0,1,0,0,0.0,1.0
260,00601dd05e9f,4,0,1,0,0,0,1,0.0,0.0
261,0030659bebd9,3,0,1,0,0,0,1,0.0,0.0
262,0040961b931b,21,1,1,0,1,1,0,0.0,0.0
263,0030655adfb1,1,0,1,0,0,0,1,0.0,0.0
264,004096d42ef0,68,1,1,0,1,1,0,0.0,0.0
265,00409608fedc,15,0,1,0,1,0,0,0.0,0.0
266,0040969c9e37,18,0,1,1,0,1,0,11.0,0.0
267,00022df52e94,37,0,1,0,0,1,0,0.0,0.0
268,0030654c006c,6,0,1,0,0,0,1,0.0,0.0
269,00409664cbc3,1,0,1,0,0,0,1,0.0,0.0
270,00022d90dcda,4,0,1,0,0,0,1,0.0,0.0
271,003065a83d74,3,0,1,1,0,0,0,0.0,0.0
272,0030657247e9,5,0,1,0,0,1,0,0.0,0.0
273,003065a426d2,21,1,1,1,1,1,0,0.0,0.0
274,004096a0599c,12,1,1,1,1,1,0,2.0,0.0
275,00306569750c,2,0,1,0,0,0,1,0.0,0.0
276,004096de29aa,1,0,1,0,0,0,1,0.0,0.0
277,0030655bc4d3,13,1,1,1,0,1,0,0.0,0.0
278,00409665e413,44,1,1,1,1,1,0,0.0,0.0
279,004096e9342c,12,0,1,1,0,1,0,0.0,1.0
280,003065294706,5,0,1,0,0,0,1,0.0,0.0
281,0040964a65e6,2,0,1,0,0,0,1,0.0,0.0
282,0030657b2ba2,7,0,1,1,1,1,0,0.0,0.0
283,003065535df0,3,1,0,0,0,1,0,0.0,0.0
284,004096038a96,20,1,1,1,1,1,0,0.0,0.0
285,003065f01a87,2,1,1,0,0,0,1,0.0,0.0
286,004096ecf8e6,22,1,1,1,1,1,0,0.0,0.0
287,0030653c8114,3,0,1,0,0,0,1,0.0,0.0
288,0030658643c4,34,1,1,1,1,1,0,0.0,0.0
289,00409680ec38,9,1,1,0,0,1,0,1.0,0.0
290,00022d458c14,24,1,1,1,1,1,0,0.0,0.0
291,00022dd87247,3,0,1,0,0,1,0,1.0,0.0
292,003065de5aa3,11,0,1,1,1,1,0,0.0,0.0
293,003065dae75a,11,1,1,1,0,1,0,1.0,1.0
294,004096dd0408,32,1,1,1,1,1,0,1.0,0.0
295,004096e0c497,2,1,0,0,1,0,0,0.0,0.0
296,00409690742d,20,1,1,1,1,1,0,0.0,0.0
297,003065e0817f,31,1,1,1,1,1,0,0.0,0.0
298,0030653dfa36,9,1,1,1,0,1,0,0.0,0.0
299,00306533bd35,2,0,1,0,0,0,1,0.0,0.0
300,00409622e1cf,15,1,1,1,1,1,0,0.0,0.0
301,00022de3467b,1,0,1,0,0,0,1,0.0,0.0
302,003065104246,7,1,1,0,0,0,1,0.0,0.0
303,004005aa4e4c,16,0,1,1,1,1,0,4.0,0.0
304,003065b8b97e,16,1,1,1,1,1,0,0.0,0.0
305,00601dfc51f7,1,0,1,0,0,0,1,0.0,0.0
306,003065b312a1,18,0,1,1,1,1,0,0.0,0.0
307,00601d15c062,4,0,1,0,0,0,1,0.0,0.0
308,004096f9f2e4,11,0,1,1,1,1,0,0.0,0.0
309,00409636d7d7,3,0,1,0,0,0,1,0.0,0.0
310,00306547d63a,5,0,1,0,1,0,0,0.0,0.0
311,003065ca19b1,6,0,1,0,1,0,0,0.0,0.0
312,00306533a0e1,5,0,1,0,1,0,0,0.0,0.0
313,0030656527cf,24,1,1,1,1,1,0,0.0,0.0
314,004096bfc395,8,0,1,0,1,1,0,0.0,0.0
315,003065b29a37,4,1,0,1,1,0,0,0.0,0.0
316,00032f5418f1,79,1,1,1,1,1,0,0.0,0.0
317,004096b04a98,6,0,0,0,0,1,0,2.0,0.0
318,00601db90829,5,1,1,0,0,1,0,0.0,0.0
319,0040967ad665,11,1,1,1,1,1,0,0.0,0.0
320,0030655790c7,4,0,1,0,1,0,0,0.0,0.0
321,0030658d5b4a,5,0,1,0,1,0,0,0.0,0.0
322,0030650b52b2,8,1,0,1,0,1,0,2.0,0.0
323,004096692024,5,0,1,0,1,1,0,0.0,0.0
324,00306576a704,3,0,1,1,0,0,0,0.0,0.0
325,0030651e0e5a,3,1,0,1,0,0,0,0.0,0.0
326,003065c29f49,21,1,1,1,1,1,0,0.0,0.0
327,00022d104c11,1,0,0,0,0,1,0,0.0,0.0
328,00601df2afbd,3,0,1,0,1,0,0,0.0,0.0
329,00601ddefcf8,1,0,1,0,0,0,1,0.0,0.0
330,004096a6153a,19,0,1,0,1,1,0,0.0,0.0
331,0030659088f7,5,0,1,0,1,1,0,0.0,0.0
332,004096e5754f,8,1,1,1,1,1,0,2.0,0.0
333,0030653eff99,7,1,1,1,1,0,0,0.0,0.0
334,003065c536fc,6,0,1,0,1,0,0,0.0,0.0
335,0050da25fe2d,6,0,1,0,0,1,0,0.0,0.0
336,0030650d3dd3,4,0,1,1,0,1,0,0.0,0.0
337,004096dacfc9,4,0,1,0,0,0,1,0.0,0.0
338,00601d92b482,1,0,0,0,1,0,0,0.0,0.0
339,003065fc6f87,18,1,1,1,1,1,0,0.0,0.0
340,004096f7d7a4,32,0,1,1,1,1,0,0.0,0.0
341,00306537fe81,15,0,1,1,0,1,0,0.0,0.0
342,0030659a3544,1,0,0,0,1,0,0,0.0,0.0
343,00022d7ff066,9,0,1,0,0,0,1,0.0,0.0
344,003065dfd02f,2,0,1,0,0,0,1,0.0,0.0
345,00306554ad08,3,0,1,0,0,0,1,0.0,0.0
346,004096987dfb,1,0,1,0,0,0,1,0.0,0.0
347,003065e6b272,3,1,1,0,1,0,0,0.0,0.0
348,003065eeb550,8,0,1,0,0,1,0,0.0,0.0
349,0040961ac2e2,6,0,1,0,0,0,1,0.0,0.0
350,004096abfd74,5,0,1,1,1,0,0,0.0,0.0
351,00022dfe1f69,5,0,1,0,0,0,1,0.0,0.0
352,0040961b41da,4,0,0,0,0,1,0,21.0,21.0
353,000502d13d80,1,0,0,0,0,1,0,2.0,2.0
354,004096d56b46,4,0,0,1,0,1,0,3.0,0.0
355,0040964861d7,15,0,1,1,1,1,0,0.0,2.0
356,0040962fb262,3,0,1,0,0,0,1,0.0,0.0
357,0030654e4fb6,2,0,1,0,0,0,1,0.0,0.0
358,004096659e30,4,0,1,0,0,1,0,0.0,6.0
359,0030655f1785,3,0,0,0,0,1,0,2.0,0.0
360,00601d36c92d,30,1,1,1,1,1,0,0.0,0.0
361,0030654d2617,1,0,0,0,1,0,0,2.0,0.0
362,0030653dcfdc,1,0,1,0,0,0,1,0.0,0.0
363,0040960541f8,3,0,1,0,0,0,1,0.0,0.0
364,004096bda7f8,8,0,1,0,0,1,0,0.0,0.0
365,004096c2420a,27,0,1,1,1,1,0,0.0,0.0
366,004096d64f39,17,0,1,1,0,1,0,4.0,0.0
367,004096429819,7,0,1,1,1,1,0,0.0,0.0
368,004096f09eb6,8,0,1,1,1,1,0,0.0,0.0
369,0030659e96e3,1,0,0,0,1,0,0,0.0,0.0
370,0030653daa8c,4,1,1,0,1,1,0,0.0,0.0
371,0002b38e4a86,36,1,1,1,1,1,0,0.0,0.0
372,0040963b433c,28,0,1,0,0,1,0,0.0,6.0
373,004096ac865f,3,0,0,0,0,1,0,0.0,2.0
374,00022da83f84,22,1,1,0,1,1,0,0.0,0.0
375,004096fc4ed4,3,1,0,0,1,0,0,0.0,0.0
376,0030651a05af,1,0,1,0,0,0,1,0.0,0.0
377,003065b46d69,1,0,1,0,0,0,1,0.0,0.0
378,003065061029,18,1,1,1,0,1,0,0.0,0.0
379,00601db3340f,17,1,1,1,1,1,0,40.0,0.0
380,00409656d4ab,1,0,0,0,0,1,0,0.0,3.0
381,00045a7b8624,2,0,0,0,0,1,0,2.0,677.0
382,003065d8efb0,2,0,1,1,0,0,0,0.0,0.0
383,003065dd81b3,1,0,1,0,0,0,1,0.0,2.0
